Produto,Preço
"Placa de Vídeo RX 6600 CLD 8G ASRock AMD Radeon, 8GB, GDDR6 - 90-GA2RZZ-00UANF","R$ 1.449,99"
"Placa de Vídeo XFX AMD RADEON RX 7600 Gaming Graphics Card, 8GB, GDDR6 - RX-76PMBABFY","R$ 1.649,99"
"Placa de Vídeo RX 7600 GAMING OC 8G AMD Radeon Gigabyte, 8GB, GDDR6, 128bits, RGB - GV-R76GAMING OC-8GD","R$ 1.799,99"
"Placa de Vídeo Gigabyte RTX 5070 WINDFORCE OC SFF 12G NVIDIA GeForce, 12GB GDDR7, 192bits, DLSS, Ray Tracing - 9VN5070WO-00-G10","R$ 4.199,99"
"Placa de Vídeo Gigabyte RTX 5060 GAMING OC 8G NVIDIA GeForce, 8GB GDDR7, 128bits, DLSS, Triple Fan, Ray Tracing - GV-N5060GAMING OC-8GD","R$ 2.599,99"
"Placa de Vídeo MSI RTX 5060 Ti 16G SHADOW 2X OC PLUS Geforce NVIDIA, 16GB GDDR7, 128 bits, 2617 MHz, DLSS 4, Ray Tracing - G506T-16S2CP","R$ 3.599,99"
"Placa de Vídeo ASUS DUAL RTX 5060 O8G NVIDIA GeForce, 8GB GDDR7, 2565MHz, 128 bits, OpenGL 4.6, DLSS 4, Ray Tracing - DUAL-RTX5060-O8G","R$ 2.599,99"
"Placa de Vídeo Gigabyte RTX 5060 WINDFORCE OC 8G NVIDIA GeForce, 8GB GDDR7, 128bits, DLSS, Ray Tracing - GV-N5060WF2OC-8GD","R$ 2.449,99"
"Placa de Vídeo Gigabyte RTX 3050 Windforce OC NVIDIA GeForce, 6GB, GDDR6, DLSS, Ray Tracing - GV-N3050WF2OCV2-6GD","R$ 1.499,99"
"Placa de Vídeo MSI RTX 5070 12G Shadow 2x OC Nvdia Geforce, 12GB, GDDR7, OpenGL 4.6, G-SYNC - G5070-12S2C","R$ 4.099,99"
"Placa de Vídeo Gigabyte RTX 5060 EAGLE OC 8G NVIDIA GeForce, 8GB GDDR7, 128bits, DLSS, Ray Tracing - GV-N5060EAGLE OC-8GD","R$ 2.399,99"
"Placa de Vídeo ASRock RX 6600 Challenger White AMD Radeon, 8GB, GDDR6, DirectX 12 Ultimate, RDNA 2 - 90-GA4UZZ-00UANF","R$ 1.599,00"
"Placa de Vídeo Gigabyte RTX 5070 Ti WINDFORCE SFF 16G NVIDIA GeForce, 16GB, GDDR7, 256bits, DLSS, Ray Tracing - 9VN507TW-00-G10","R$ 6.199,99"
"Placa de Vídeo RX 7600 Series Graphics Cards XFX AMD Radeon, 8GB GDDR6 - RX-76PQICKBY","R$ 1.799,99"
"Placa de Vídeo Gigabyte RTX 5060 EAGLEOC ICE 8G NVIDIA GeForce, 8GB GDDR7, 128bits, DLSS, Ray Tracing - GV-N5060EAGLEOC ICE-8GD","R$ 2.499,99"
"Placa de Vídeo ASRock RX 9060 XT CL 8GO AMD Radeon, 8GB, GDDR6, 128bits, OpenGL 4.6, RDNA 4 - RX9060XT CL 8GO","R$ 2.499,99"
"Placa de Vídeo RTX 5060 Ti EAGLE OC 16G Gigabyte NVIDIA GeForce, 16GB GDDR7, 128bits, RGB, DLSS, Ray Tracing - GV-N506TEAGLE OC-16GD","R$ 3.399,99"
"Placa de Vídeo DUAL RX 7600 O8G EVO AMD Radeon, 8GB GDDR6, 128 Bits, OpenGL 4.6 - 90YV0LD0-M0NA00","R$ 1.799,99"
"Placa de Vídeo XFX RX 9060 XT OC AMD Radeon, 16GB, GDDR6, 128bits, 20 Gbps, Triple Fan, RDNA 4 - RX-96TS316B7","R$ 3.299,90"
"Placa de Vídeo RTX 5060 Ti GAMING OC 16G Gigabyte NVIDIA GeForce, 16GB GDDR7, 128bits, RGB, DLSS, Ray Tracing - GV-N506TGAMING OC-16GD","R$ 3.699,99"
